# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
平安,平安,píng ān,"safe and sound
well
at peace",保护国家，不分男女。男人能做的，我也能做。请相信我，我一定会平安回来。,保護國家，不分男女。男人能做的，我也能做。請相信我，我一定會平安回來。,bǎo hù guó jiā ， bù fēn nán nǚ 。 nán rén néng zuò de ， wǒ yě néng zuò 。 qǐng xiāng xìn wǒ ， wǒ yí dìng huì píng ān huí lái 。,"Protecting the country knows no gender. What men can do, I can do too. Please believe me, I will definitely return safely."
责任,責任,zé rèn,"responsibility
blame
duty",“不！我要去。国家需要我们，这是我们的责任。中国人常常说，没有国就没有家。,“不！我要去。國家需要我們，這是我們的責任。中國人常常說，沒有國就沒有家。,“ bù ！ wǒ yào qù 。 guó jiā xū yào wǒ men ， zhè shì wǒ men de zé rèn 。 zhōng guó rén cháng cháng shuō ， méi yǒu guó jiù méi yǒu jiā 。,"“No! I’m going. The country needs us. This is our responsibility. Chinese people often say, no country, no home."
必须,必須,bì xū,"must
to have to
compulsory",“国家要求，每家必须出一个男人参军。保护我们的国家，人人有责！”,“國家要求，每家必須出一個男人參軍。保護我們的國家，人人有責！”,“ guó jiā yāo qiú ， měi jiā bì xū chū yí ge nán rén cān jūn 。 bǎo hù wǒ men de guó jiā ， rén rén yǒu zé ！ ”,.. “The country demands that each family must send one man to join the army. It is everyone’s duty to protect our nation!”
照顾,照顧,zhào gù,"to take care of
to show consideration
to look after",她们穿着裙子，她们的头发长长的，她们在买菜，她们在照顾孩子……,她們穿著裙子，她們的頭髮長長的，她們在買菜，她們在照顧孩子……,tā men chuān zhe qún zi ， tā men de tóu fa cháng cháng de ， tā men zài mǎi cài ， tā men zài zhào gù hái zi … …,"They wore skirts, they had long hair, they were buying groceries, they were taking care of children …"
留,留,liú,"to retain
to keep
to preserve",木兰不想把话留在心里，她还是都说了出来。,木蘭不想把話留在心裡，她還是都說了出來。,mù lán bù xiǎng bǎ huà liú zài xīn li ， tā hái shi dōu shuō le chu lai 。,"Mulan didn’t want to keep these words to herself, so she said everything out loud."
洗,洗,xǐ,"to wash
to bathe",为什么女人要在家做饭洗衣服，男人可以在外面工作呢？,為什麼女人要在家做飯洗衣服，男人可以在外面工作呢？,wèi shén me nǚ rén yào zài jiā zuò fàn xǐ yī fu ， nán rén kě yǐ zài wài miàn gōng zuò ne ？,"Why do women have to stay at home cooking and doing laundry, while men can work outside?"
阿姨,阿姨,ā yí,"maternal aunt
auntie (form of address for any woman around one’s mother’s age)
auntie (form of address for working-age female caretakers, including nurses, cleaning ladies, live-in staff, etc.)",你知道阿花吧，颜阿姨的女儿，她十六岁就结婚了。,你知道阿花吧，顏阿姨的女兒，她十六歲就結婚了。,nǐ zhī dào ā huā ba ， yán ā yí de nǚ ér ， tā shí liù suì jiù jié hūn le 。,"You know Ah Hua, right? Aunt Yan’s daughter? She got married at sixteen."
裙子,裙子,qún zi,"skirt
dress",妈妈还在说：“女孩子就应该穿裙子，穿得漂漂亮亮的。你多大了？你已经十七岁了。,媽媽還在說：“女孩子就應該穿裙子，穿得漂漂亮亮的。你多大了？你已經十七歲了。,mā ma hái zài shuō ： “ nǚ hái zi jiù yīng gāi chuān qún zi ， chuān de piào piào liang liang de 。 nǐ duō dà le ？ nǐ yǐ jīng shí qī suì le 。,"Her mother continued, “Girls should wear dresses and look pretty. How old are you now? You’re already seventeen."
裤子,褲子,kù zi,"trousers
pants",木兰心里又想：“怎么了？男孩子能穿裤子，女孩子也一样能穿。”,木蘭心裡又想：“怎麼了？男孩子能穿褲子，女孩子也一樣能穿。”,mù lán xīn li yòu xiǎng ： “ zěn me le ？ nán hái zi néng chuān kù zi ， nǚ hái zi yě yí yàng néng chuān 。 ”,"Mulan thought to herself again, “So what? If boys can wear pants, girls can wear them too.”"
厉害,厲害,lì hai,"formidable
tremendous
awesome",“一定能！那是木兰姐姐，她特别厉害！,“一定能！那是木蘭姐姐，她特別厲害！,“ yí dìng néng ！ nà shì mù lán jiě jie ， tā tè bié lì hai ！,“She definitely can! That’s sister Mulan. She’s really awesome.
刚,剛,gāng,"just
as soon as",说话的是一个女孩子，她刚说完，就开始往树上爬。,說話的是一個女孩子，她剛說完，就開始往樹上爬。,shuō huà de shì yí ge nǚ hái zi ， tā gāng shuō wán ， jiù kāi shǐ wǎng shù shang pá 。,"It was a girl who spoke. As soon as she finished speaking, she started climbing up the tree."
了解,了解,liǎo jiě,"to understand
to realize
to find out",根据我的了解，今年的人会比去年多一点儿。,根據我的了解，今年的人會比去年多一點兒。,gēn jù wǒ de liǎo jiě ， jīn nián de rén huì bǐ qù nián duō yì diǎn'r 。,"Based on my understanding, this year there will be a few more people than last year."
根据,根據,gēn jù,"according to
based on
basis",根据我的了解，今年的人会比去年多一点儿。,根據我的了解，今年的人會比去年多一點兒。,gēn jù wǒ de liǎo jiě ， jīn nián de rén huì bǐ qù nián duō yì diǎn'r 。,"Based on my understanding, this year there will be a few more people than last year."
担心,擔心,dān xīn,"to worry
to be anxious",不难的，不用担心，也不用害怕。,不難的，不用擔心，也不用害怕。,bù nán de ， bú yòng dān xīn ， yě bú yòng hài pà 。,"It’s not difficult. You don’t have to worry, and you don’t have to be afraid."
讲,講,jiǎng,"to speak
to say
to tell",白老师：要求用中文讲一个小故事。,白老師：要求用中文講一個小故事。,bái lǎo shī ： yāo qiú yòng zhōng wén jiǎng yí ge xiǎo gù shi 。,Teacher Bai: The requirement is to tell a short story in Chinese.
要求,要求,yāo qiú,"request
demand
requirement",高天：白老师，比赛有什么要求？难吗？,高天：白老師，比賽有什麼要求？難嗎？,gāo tiān ： bái lǎo shī ， bǐ sài yǒu shén me yāo qiú ？ nán ma ？,"Gao Tian: Teacher Bai, what are the requirements for the competition? Is it difficult?"
复习,復習,fù xí,"to review
to go over",Anne：因为我觉得数学很难，所以要做练习。做练习也是复习呢。,Anne：因為我覺得數學很難，所以要做練習。做練習也是復習呢。,Anne ： yīn wèi wǒ jué de shù xué hěn nán ， suǒ yǐ yào zuò liàn xí 。 zuò liàn xí yě shì fù xí ne 。,"Anne: Because I find math very difficult, so I need to do exercises. Doing exercises also counts as reviewing."
肌肉,肌肉,jī ròu,"muscle
flesh",本：我今天想举重，举重对我的肌肉好。,本：我今天想舉重，舉重對我的肌肉好。,běn ： wǒ jīn tiān xiǎng jǔ zhòng ， jǔ zhòng duì wǒ de jī ròu hǎo 。,Ben: I want to do weight lifting today. Weight lifting is good for my muscles.
游泳池,游泳池,yóu yǒng chí,swimming pool,本：这里有游泳池吗？我喜欢游泳。我觉得游泳比做瑜伽好。,本：這裡有游泳池嗎？我喜歡游泳。我覺得游泳比做瑜伽好。,běn ： zhè lǐ yǒu yóu yǒng chí ma ？ wǒ xǐ huan yóu yǒng 。 wǒ jué de yóu yǒng bǐ zuò yú jiā hǎo 。,Ben: Is there a swimming pool here? I like to swim. I think swimming is better than doing yoga.
播客,播客,bō kè,podcast (loanword),我最喜欢一边在跑步机上跑步，一边听播客，就是podcast。,我最喜歡一邊在跑步機上跑步，一邊聽播客，就是podcast。,wǒ zuì xǐ huan yì biān zài pǎo bù jī shang pǎo bù ， yì biān tīng bō kè ， jiù shì podcast。,"My favorite is running on the treadmill while listening to a “boke”, which is a podcast."
瑜伽,瑜伽,yú jiā,yoga (loanword),丽丽：我有时候做瑜伽，有时候跑步。,麗麗：我有時候做瑜伽，有時候跑步。,lì lì ： wǒ yǒu shí hou zuò yú jiā ， yǒu shí hou pǎo bù 。,"Lili: Sometimes I do yoga, sometimes I run."
健身,健身,jiàn shēn,"to exercise
to work out
physical exercise",这里有十几个跑步机，也有很多种健身器材。,這裡有十幾個跑步機，也有很多種健身器材。,zhè lǐ yǒu shí jǐ ge pǎo bù jī ， yě yǒu hěn duō zhǒng jiàn shēn qì cái 。,They have a dozen or more treadmills. They also have many different workout machines.
健身房,健身房,jiàn shēn fáng,"gym
gymnasium",你一般在健身房做什么？,你一般在健身房做什麼？,nǐ yì bān zài jiàn shēn fáng zuò shén me ？,What Do You Usually Do at the Gym?
一般,一般,yì bān,in general,你一般在健身房做什么？,你一般在健身房做什麼？,nǐ yì bān zài jiàn shēn fáng zuò shén me ？,What Do You Usually Do at the Gym?
火锅,火鍋,huǒ guō,hotpot,露西：我要……吃火锅！,露西：我要……吃火鍋！,lù xī ： wǒ yào …… chī huǒ guō ！,Lucy: I want to … eat hotpot!
恭喜,恭喜,gōng xǐ,congratulations,露西：恭喜，恭喜！这么好的事情，你一定要请客！,露西：恭喜，恭喜！這麼好的事情，你一定要請客！,lù xī ： gōng xǐ ， gōng xǐ ！ zhè me hǎo de shì qing ， nǐ yí dìng yào qǐng kè ！,"Lucy: Congrats, congrats! That’s such great news! You must treat me to dinner!"
请客,請客,qǐng kè,to treat sb. (to meal etc.),你一定要请客哦,你一定要請客哦,nǐ yí dìng yào qǐng kè o,You Must Treat Me to Dinner
暖和,暖和,nuǎn huo,"warm
nice and warm",丽丽：苏州的冬天比北京暖和一些，很少是零下几度，从不下雪。,麗麗：蘇州的冬天比北京暖和一些，很少是零下幾度，從不下雪。,lì lì ： sū zhōu de dōng tiān bǐ běi jīng nuǎn huo yì xiē ， hěn shǎo shì líng xià jǐ dù ， cóng bú xià xuě 。,"Lili: Winters in Suzhou are a bit warmer than in Beijing. It rarely gets below zero, and it never snows."
风景,風景,fēng jǐng,"scenery
landscape",因为我喜欢爬山，我喜欢看山上的风景。,因為我喜歡爬山，我喜歡看山上的風景。,yīn wèi wǒ xǐ huan pá shān ， wǒ xǐ huan kàn shān shang de fēng jǐng 。,"Because I really like hiking, I liked seeing the view from the mountain."
温度,溫度,wēn dù,temperature,因为星期二最冷，最低温度10摄氏度，会下雨也会刮大风，,因為星期二最冷，最低溫度10攝氏度，會下雨也會颳大風，,yīn wèi xīng qī èr zuì lěng ， zuì dī wēn dù 10 shè shì dù ， huì xià yǔ yě huì guā dà fēng ，,"Because it will be the coldest on Tuesday, with a low of 10 degrees Celsius, and it will be rainy and very windy, .."
博物馆,博物館,bó wù guǎn,museum,下午去书店或者博物馆。,下午去書店或者博物館。,xià wǔ qù shū diàn huò zhě bó wù guǎn 。,"In the afternoon, we’ll go to a bookstore or museum."
天气预报,天氣預報,tiān qì yù bào,weather forecast,天气预报说这个星期从星期一到星期三，每天都有雨。,天氣預報說這個星期從星期一到星期三，每天都有雨。,tiān qì yù bào shuō zhè ge xīng qī cóng xīng qī yī dào xīng qī sān ， měi tiān dōu yǒu yǔ 。,"The weather forecast said that this week, it is going to rain every day from Monday to Wednesday."
汉语,漢語,hàn yǔ,Chinese language,后来你发现，这位同学除了在学校里学汉语，也在学校外面找了老师学汉语。,後來你發現，這位同學除了在學校裡學漢語，也在學校外面找了老師學漢語。,hòu lái nǐ fā xiàn ， zhè wèi tóng xué chú le zài xué xiào lǐ xué hàn yǔ ， yě zài xué xiào wài miàn zhǎo le lǎo shī xué hàn yǔ 。,"Later, you found out that besides studying Chinese at school, this student also found a teacher outside of school to learn Chinese."
成绩,成績,chéng jì,"achievement
grades
performance records",考试完，大家发现，有位同学的成绩比大家好很多。,考試完，大家發現，有位同學的成績比大家好很多。,kǎo shì wán ， dà jiā fā xiàn ， yǒu wèi tóng xué de chéng jì bǐ dà jiā hǎo hěn duō 。,"After the test, everyone discovered that one classmate’s score was much better than everyone else’s."
考试,考試,kǎo shì,"test (of a person’s proficiency or knowledge)
examination
exam",考试完，大家发现，有位同学的成绩比大家好很多。,考試完，大家發現，有位同學的成績比大家好很多。,kǎo shì wán ， dà jiā fā xiàn ， yǒu wèi tóng xué de chéng jì bǐ dà jiā hǎo hěn duō 。,"After the test, everyone discovered that one classmate’s score was much better than everyone else’s."
学校,學校,xué xiào,school,比如，你和同学们都在学校里学汉语，开始的时候，大家的汉语都不太好。,比如，你和同學們都在學校裡學漢語，開始的時候，大家的漢語都不太好。,bǐ rú ， nǐ hé tóng xué men dōu zài xué xiào lǐ xué hàn yǔ ， kāi shǐ de shí hou ， dà jiā de hàn yǔ dōu bú tài hǎo 。,"For example, you and your classmates were learning Chinese in school. In the beginning, everyone’s Chinese was not very good."
比如,比如,bǐ rú,for example,比如，你和同学们都在学校里学汉语，开始的时候，大家的汉语都不太好。,比如，你和同學們都在學校裡學漢語，開始的時候，大家的漢語都不太好。,bǐ rú ， nǐ hé tóng xué men dōu zài xué xiào lǐ xué hàn yǔ ， kāi shǐ de shí hou ， dà jiā de hàn yǔ dōu bú tài hǎo 。,"For example, you and your classmates were learning Chinese in school. In the beginning, everyone’s Chinese was not very good."
成语,成語,chéng yǔ,"set expression, often made up of 4 characters
idiom",现在，也有“瞒天过海”这样的事情，它是一个成语。,現在，也有“瞞天過海”這樣的事情，它是一個成語。,xiàn zài ， yě yǒu “ mán tiān guò hǎi ” zhè yàng de shì qing ， tā shì yí ge chéng yǔ 。,There are also things like “deceiving the heaven to cross the sea” nowadays. It is an idiom.
习惯,習慣,xí guàn,to be used to,有些事情，因为经常发生，人们已经习惯了，所以会相信。,有些事情，因為經常發生，人們已經習慣了，所以會相信。,yǒu xiē shì qing ， yīn wèi jīng cháng fā shēng ， rén men yǐ jīng xí guàn le ， suǒ yǐ huì xiāng xìn 。,"People become accustomed to some things because they happen frequently, so they will trust them."
计,計,jì,"plan
plot
scheme",瞒天过海是三十六计中的第一计。,瞞天過海是三十六計中的第一計。,mán tiān guò hǎi shì sān shí liù jì zhōng de dì yī jì 。,“Deceive the heavens to cross the sea” is the first stratagem of the Thirty-Six Stratagems.
拍,拍,pāi,"to take (a photo)
to shoot (a film)",我也拍到了很多丽丽的好看的照片。晚上我一边看照片，一边想丽丽。,我也拍到了很多麗麗的好看的照片。晚上我一邊看照片，一邊想麗麗。,wǒ yě pāi dào le hěn duō lì lì de hǎo kàn de zhào piàn 。 wǎn shang wǒ yì biān kàn zhào piàn ， yì biān xiǎng lì lì 。,I also took many beautiful photos of Lili. At night I looked at the photos while thinking of Lili.
不见,不見,bú jiàn,"not to see
to have disappeared
to be missing",没有人发现他不见了，只有大饭店的人问过一次，说和我一起工作的年轻人去哪儿了，,沒有人發現他不見了，只有大飯店的人問過一次，說和我一起工作的年輕人去哪兒了，,méi yǒu rén fā xiàn tā bú jiàn le ， zhǐ yǒu dà fàn diàn de rén wèn guò yí cì ， shuō hé wǒ yì qǐ gōng zuò de nián qīng rén qù nǎ'r le ，,Nobody realized that he had disappeared. Some people at the restaurant asked once where the young person who worked with me had gone.
天亮,天亮,tiān liàng,"dawn
daybreak",我开着船，往大海的远方去。三个小时后，天亮了，船离海边已经很远了，,我開著船，往大海的遠方去。三個小時後，天亮了，船離海邊已經很遠了，,wǒ kāi zhe chuán ， wǎng dà hǎi de yuǎn fāng qù 。 sān ge xiǎo shí hòu ， tiān liàng le ， chuán lí hǎi biān yǐ jīng hěn yuǎn le ，,"I set sail toward the distant ocean. Three hours later, the sun came up. The boat was already very far from the coast."
船,船,chuán,"boat
ship",我坐在他身边，哭了半个小时，后来我把他抱到了船上。,我坐在他身邊，哭了半個小時，後來我把他抱到了船上。,wǒ zuò zài tā shēn biān ， kū le bàn ge xiǎo shí ， hòu lái wǒ bǎ tā bào dào le chuán shang 。,"I sat beside him and cried for half an hour. Afterward, I carried him onto the boat."
蛋糕,蛋糕,dàn gāo,cake,我们喝了很多酒，他还陪我吃了生日蛋糕。,我們喝了很多酒，他還陪我吃了生日蛋糕。,wǒ men hē le hěn duō jiǔ ， tā hái péi wǒ chī le shēng rì dàn gāo 。,We drank a lot of alcohol. He even had birthday cake with me.
下去,下去,xià qù,(after a verb) go on (doing something); continue,李河没有回答，他想听男人继续说下去。,李河沒有回答，他想聽男人繼續說下去。,lǐ hé méi yǒu huí dá ， tā xiǎng tīng nán rén jì xù shuō xià qù 。,Li He didn’t reply. He wanted to hear the man continue speaking.
学会,學會,xué huì,"to learn
to master",他很聪明，我教他的东西，他很快就学会了；,他很聰明，我教他的東西，他很快就學會了；,tā hěn cōng ming ， wǒ jiāo tā de dōng xi ， tā hěn kuài jiù xué huì le ；,He was very smart. He very quickly learned the things I taught him.
满意,滿意,mǎn yì,"satisfied
pleased
to one's satisfaction",男人满意地喝完水，笑着说：“我是东海人，家住在东海的海边。,男人滿意地喝完水，笑著說：“我是東海人，家住在東海的海邊。,nán rén mǎn yì de hē wán shuǐ ， xiào zhe shuō ： “ wǒ shì dōng hǎi rén ， jiā zhù zài dōng hǎi de hǎi biān 。,"The man happily finished his water and smiled as he said, “I am from Donghai. My family lived by the sea in Donghai."
冷静,冷靜,lěng jìng,"calm
cool-headed",李河在心里告诉自己要冷静，他生气地看着男人，大声问：“杀人就为了一辆车？”,李河在心裡告訴自己要冷靜，他生氣地看著男人，大聲問：“殺人就為了一輛車？”,lǐ hé zài xīn li gào su zì jǐ yào lěng jìng ， tā shēng qì de kàn zhe nán rén ， dà shēng wèn ： “ shā rén jiù wèi le yí liàng chē ？”,"Li He told himself to stay calm. He angrily looked at the man and asked loudly, “You killed her for the sake of a car?”"
打算,打算,dǎ suàn,"to plan
to intend",我本来不打算杀她的，是她太不听话了，一直在旁边害怕地大叫。,我本來不打算殺她的，是她太不聽話了，一直在旁邊害怕地大叫。,wǒ běn lái bù dǎ suàn shā tā de ， shì tā tài bù tīng huà le ， yì zhí zài páng biān hài pà de dà jiào 。,I originally didn’t plan to kill her. She didn’t do what she was told. She was constantly screaming with fear next to me.
瘦,瘦,shòu,"thin
to lose weight",男人四十多岁，非常瘦，个子不高，头发很长，眼睛很小。,男人四十多歲，非常瘦，個子不高，頭髮很長，眼睛很小。,nán rén sì shí duō suì ， fēi cháng shòu ， gè zi bù gāo ， tóu fa hěn cháng ， yǎn jing hěn xiǎo 。,"The man was in his forties. He was extremely thin, not tall, and had very long hair and very small eyes."
醒,醒,xǐng,"to awaken
to wake up",但没想到六点就醒了，醒了以后就睡不着了。,但沒想到六點就醒了，醒了以後就睡不著了。,dàn méi xiǎng dào liù diǎn jiù xǐng le ， xǐng le yǐ hòu jiù shuì bù zháo le 。,He didn’t expect that he would wake up at 6 o’clock and be unable to fall asleep again.
永远,永遠,yǒng yuǎn,"forever
eternal",“警察永远抓不到我书里的坏人”——那时候的春草这样说，不，是高静这样说。,“警察永遠抓不到我書裡的壞人”——那時候的春草這樣說，不，是高靜這樣說。,“ jǐng chá yǒng yuǎn zhuā bú dào wǒ shū lǐ de huài rén ”—— nà shí hou de chūn cǎo zhè yàng shuō ， bù ， shì gāo jìng zhè yàng shuō 。,"“The police can never catch the bad guys in my books”— that’s what Chun Cao had said at that time. No, it’s what Gao Jing had said."
旅行,旅行,lǚ xíng,"to travel
journey",李河难过极了，不能好好工作了。他请了一个月假，去很远的北方旅行。,李河難過極了，不能好好工作了。他請了一個月假，去很遠的北方旅行。,lǐ hé nán guò jí le ， bù néng hǎo hǎo gōng zuò le 。 tā qǐng le yí ge yuè jià ， qù hěn yuǎn de běi fāng lǚ xíng 。,Li He was very sad and unable to work properly. He took one month of leave and went on a holiday in the far north.
假,假,jià,"holiday
vacation
leave of absence",李河难过极了，不能好好工作了。他请了一个月假，去很远的北方旅行。,李河難過極了，不能好好工作了。他請了一個月假，去很遠的北方旅行。,lǐ hé nán guò jí le ， bù néng hǎo hǎo gōng zuò le 。 tā qǐng le yí ge yuè jià ， qù hěn yuǎn de běi fāng lǚ xíng 。,Li He was very sad and unable to work properly. He took one month of leave and went on a holiday in the far north.
睡着,睡著,shuì zháo,to fall asleep,他的头很疼，他太累了，很快就睡着了。,他的頭很疼，他太累了，很快就睡著了。,tā de tóu hěn téng ， tā tài lèi le ， hěn kuài jiù shuì zháo le 。,His head hurt a lot. He was exhausted and very quickly fell asleep.
拉,拉,lā,"to pull
to drag",高静把李河拉进了她的杀人计划。,高靜把李河拉進了她的殺人計劃。,gāo jìng bǎ lǐ hé lā jìn le tā de shā rén jì huà 。,.. Gao Jing involved Li He in her murder plan.
热情,熱情,rè qíng,"cordial
enthusiastic
passionate",你应该问一问那个司机的，他那么热情，一定会告诉你的。,你應該問一問那個司機的，他那麼熱情，一定會告訴你的。,nǐ yīng gāi wèn yí wèn nà ge sī jī de ， tā nà me rè qíng ， yí dìng huì gào su nǐ de 。,You should’ve asked that driver. He’s so friendly; he definitely would have told you.
日记,日記,rì jì,diary,你还知道我会去检查你先生的抽屉，所以你提前在抽屉里面放了书、日记和照片。,你還知道我會去檢查你先生的抽屜，所以你提前在抽屜裡面放了書、日記和照片。,nǐ hái zhī dào wǒ huì qù jiǎn chá nǐ xiān sheng de chōu ti ， suǒ yǐ nǐ tí qián zài chōu ti lǐ miàn fàng le shū 、 rì jì hé zhào piàn 。,"You also knew I would check your husband’s drawer, so you placed the book, diary, and photo in the drawer ahead of time."
推,推,tuī,"to push
to push forward",“你先生是从窗户上掉下去的，但不是自己不小心掉下去的，是有人把他推下去的。,“你先生是從窗戶上掉下去的，但不是自己不小心掉下去的，是有人把他推下去的。,“ nǐ xiān sheng shì cóng chuāng hu shang diào xià qù de ， dàn bú shì zì jǐ bù xiǎo xīn diào xià qù de ， shì yǒu rén bǎ tā tuī xià qù de 。,"“Your husband fell down from the window, but he didn’t fall down by accident. Someone pushed him down."
激动,激動,jī dòng,"to move emotionally
to stir up (emotions)
to excite",高静抱住李河，激动地说：“我真的很喜欢你啊！你不喜欢我吗？”,高靜抱住李河，激動地說：“我真的很喜歡你啊！你不喜歡我嗎？”,gāo jìng bào zhù lǐ hé ， jī dòng de shuō ： “ wǒ zhēn de hěn xǐ huan nǐ a ！ nǐ bù xǐ huan wǒ ma ？”,"Gao Jing hugged Li He and said emotionally, “I really like you a lot! Don’t you like me?”"
目的,目的,mù dì,"purpose
aim
goal",你这样做的目的，就是为了让我相信张一南真的要杀你和你先生。”,你這樣做的目的，就是為了讓我相信張一南真的要殺你和你先生。”,nǐ zhè yàng zuò de mù dì ， jiù shì wèi le ràng wǒ xiāng xìn zhāng yī nán zhēn de yào shā nǐ hé nǐ xiān sheng 。”,Your purpose for doing this was to make me believe that Zhang Yinan really wanted to kill you and your husband.”
后,後,hòu,"afterwards
later
post-",你想离开他，但是你没有钱，离开他后你没有钱生活，所以你想到杀了他。,你想離開他，但是你沒有錢，離開他後你沒有錢生活，所以你想到殺了他。,nǐ xiǎng lí kāi tā ， dàn shì nǐ méi yǒu qián ， lí kāi tā hòu nǐ méi yǒu qián shēng huó ， suǒ yǐ nǐ xiǎng dào shā le tā 。,"You wanted to leave him, but you didn’t have any money. If you left him, you wouldn’t have any money to live, so you wanted to kill him."
主意,主意,zhǔ yi,"plan
idea
decision",找演员来帮自己和记者见面，这真是个聪明的主意。,找演員來幫自己和記者見面，這真是個聰明的主意。,zhǎo yǎn yuán lái bāng zì jǐ hé jì zhě jiàn miàn ， zhè zhēn shi ge cōng ming de zhǔ yi 。,You found an actor to meet a journalist on your behalf. This was a really clever idea.
真正,真正,zhēn zhèng,"genuine
real",著名记者小九见过你，但他见的只是你花钱找的演员，不是真正的你，对吗？,著名記者小九見過你，但他見的只是你花錢找的演員，不是真正的你，對嗎？,zhù míng jì zhě xiǎo jiǔ jiàn guò nǐ ， dàn tā jiàn de zhǐ shì nǐ huā qián zhǎo de yǎn yuán ， bú shì zhēn zhèng de nǐ ， duì ma ？,"The famous reporter Xiaojiu has seen you before, but what he saw was simply an actor you paid and not the real you. Am I right?"
演员,演員,yǎn yuán,"actor or actress
performer",著名记者小九见过你，但他见的只是你花钱找的演员，不是真正的你，对吗？,著名記者小九見過你，但他見的只是你花錢找的演員，不是真正的你，對嗎？,zhù míng jì zhě xiǎo jiǔ jiàn guò nǐ ， dàn tā jiàn de zhǐ shì nǐ huā qián zhǎo de yǎn yuán ， bú shì zhēn zhèng de nǐ ， duì ma ？,"The famous reporter Xiaojiu has seen you before, but what he saw was simply an actor you paid and not the real you. Am I right?"
著名,著名,zhù míng,"famous
well-known",著名记者小九见过你，但他见的只是你花钱找的演员，不是真正的你，对吗？,著名記者小九見過你，但他見的只是你花錢找的演員，不是真正的你，對嗎？,zhù míng jì zhě xiǎo jiǔ jiàn guò nǐ ， dàn tā jiàn de zhǐ shì nǐ huā qián zhǎo de yǎn yuán ， bú shì zhēn zhèng de nǐ ， duì ma ？,"The famous reporter Xiaojiu has seen you before, but what he saw was simply an actor you paid and not the real you. Am I right?"
作家,作家,zuò jiā,author,你就是作家春草，四年前你先生去国外出差后，你开始用春草的名字写小说。,你就是作家春草，四年前你先生去國外出差後，你開始用春草的名字寫小說。,nǐ jiù shì zuò jiā chūn cǎo ， sì nián qián nǐ xiān sheng qù guó wài chū chāi hòu ， nǐ kāi shǐ yòng chūn cǎo de míng zi xiě xiǎo shuō 。,"You are the author Chun Cao. Four years ago after your husband went abroad on business, you started using the name Chun Cao to write novels."
顺利,順利,shùn lì,"smoothly
without a hitch",“你来了！中午我给你打电话了，但是你没有接，工作不顺利吗？”,“你來了！中午我給你打電話了，但是你沒有接，工作不順利嗎？”,“ nǐ lái le ！ zhōng wǔ wǒ gěi nǐ dǎ diàn huà le ， dàn shì nǐ méi yǒu jiē ， gōng zuò bú shùn lì ma ？”,".. “You’ve come! At noon I gave you a call, but you didn’t pick up. Is work not going well?”"
接,接,jiē,"to receive
to answer (the phone)",“你来了！中午我给你打电话了，但是你没有接，工作不顺利吗？”,“你來了！中午我給你打電話了，但是你沒有接，工作不順利嗎？”,“ nǐ lái le ！ zhōng wǔ wǒ gěi nǐ dǎ diàn huà le ， dàn shì nǐ méi yǒu jiē ， gōng zuò bú shùn lì ma ？”,".. “You’ve come! At noon I gave you a call, but you didn’t pick up. Is work not going well?”"
另,另,lìng,"other
another
separate",第29章、另一个名字,第29章、另一個名字,dì 29 zhāng 、 lìng yí ge míng zi,Chapter 29: Another Name
倒,倒,dǎo,"to fall
to collapse
to overthrow",李河的眼睛大了，他觉得头很疼，差点儿倒在地上。他明白了，他找到原因了。,李河的眼睛大了，他覺得頭很疼，差點兒倒在地上。他明白了，他找到原因了。,lǐ hé de yǎn jing dà le ， tā jué de tóu hěn téng ， chà diǎn'r dǎo zài dì shang 。 tā míng bai le ， tā zhǎo dào yuán yīn le 。,"Li He’s eyes grew big. His head hurt, and he nearly collapsed on the floor. He understood. He had found the reason."
同一,同一,tóng yí,"identical
the same",“书里写的字和信里的字一样吗？是同一个人写的吗？”,“書裡寫的字和信裡的字一樣嗎？是同一個人寫的嗎？”,“ shū lǐ xiě de zì hé xìn lǐ de zì yí yàng ma ？ shì tóng yí ge rén xiě de ma ？”,.. “Is the handwriting in this book the same as the handwriting in these letters? Were they written by the same person?”
祝,祝,zhù,"to wish
to express good wishes
to pray",谢先生下车的时候还对我说，祝我女朋友生日快乐呢。,謝先生下車的時候還對我說，祝我女朋友生日快樂呢。,xiè xiān sheng xià chē de shí hou hái duì wǒ shuō ， zhù wǒ nǚ péng you shēng rì kuài lè ne 。,"When Mr. Xie got out of the car, he even wished my girlfriend a happy birthday."
完全,完全,wán quán,"complete
totally
entirely",她穿着漂亮的裙子，就像夏天里最美的花，李河已经完全被她吸引了。,她穿著漂亮的裙子，就像夏天裡最美的花，李河已經完全被她吸引了。,tā chuān zhe piào liang de qún zi ， jiù xiàng xià tiān lǐ zuì měi de huā ， lǐ hé yǐ jīng wán quán bèi tā xī yǐn le 。,"She wore a beautiful dress, just like the most beautiful summer flower. Li He was completely captivated by her."
计划,計劃,jì huà,"plan
project
program",如果是这样，那谢小山的计划差点儿就成功了，,如果是這樣，那謝小山的計劃差點兒就成功了，,rú guǒ shì zhè yàng ， nà xiè xiǎo shān de jì huà chà diǎn'r jiù chéng gōng le ，,"If this was the case, then Xie Xiaoshan’s plan almost succeeded."
